  #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date ,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC
1454,"To Takie Proste","Sixteen",100,4B,77,2023-06-23,02:54,0,"","","Lawa",2009-01-01,69,3,0,58,0,20,-6,G#/A♭,4,0jg0s2UgZ4UuNWiywIscsa,"Universal Music",PLUM70900459
1455,"Guildo hat euch lieb! - Grand Prix Version","Guildo Horn & Die Orthopädischen Strümpfe",129,10B,80,2023-06-23,03:03,29,"schlager, schlagerparty, neue deutsche welle","","Danke! (Grand Prix Sonder-Edition)",2009-01-01,64,12,0,73,0,0,-6,D,4,6TU1XF376ykPceVnK24OOK,"spin records",DEA349800016
1456,"Don'T Ever Cry","Put",85,10B,53,2023-06-23,02:59,0,"","","Zlatna Kolekcija (Najljepše Domoljubne)",2009-01-01,51,76,0,51,0,0,-6,D,4,0qbGlaru5Byq9mB8anuEK0,"Croatia Records",HRA040628873
1457,"One Step Out Of Time - Live At The Royal Albert Hall","Michael Ball",154,1B,80,2023-06-23,02:27,5,"classical crossover, musicals","Classical, Easy Listening, Pop","Past And Present: The Very Best Of Michael Ball",2009-01-01,51,23,0,84,0,90,-5,B,4,1ms9jEjL9fkGvmY6KFkcJO,"UMC (Universal Music Catalogue)",GBBFR9900093
1458,"Oliver","Anita Skorgan",125,8B,59,2023-06-23,02:55,16,"norwegian pop","","Anita Skorgan / 17 Utvalgte Sanger Digitalt Album",2009-01-01,74,86,0,90,0,0,-9,C,4,0MOgrbohfnHA8ISdeveRf5,"Universal Music AS",NOUM70900075
1459,"Moja Generacija","Korni Grupa",83,12B,64,2023-06-23,03:25,0,"progressive rock","","The Ultimate Collection",2009-01-01,43,15,0,36,0,10,-6,E,4,5Ednuz0Ten3QoH9pnljFMS,"Croatia Records",HRA040960138
1460,"All Kinds Of Everything","Dana",103,6B,50,2023-06-23,03:03,0,"","","Oldies 101",2009-01-01,54,82,0,67,0,20,-5,A#/B♭,3,4HbTAtq8oRxFXpeoC3O8qV,"Universal Music Ltd.",GBF077020520
1461,"Piove (ciao ciao bambina)","Domenico Modugno",129,10B,43,2023-06-23,03:05,0,"italian singer-songwriter, canzone napoletana","","Meraviglioso",2009-01-01,31,89,0,28,0,0,-11,D,4,7LECJEiN7rE4veR90pp3hc,"Ermitage Records",QMBZ91345323
1462,"Boom Boom","Mabel",113,9B,82,2023-06-23,02:58,36,"dansktop, dansk pop","","Det Sidste Boom",2009-01-01,38,6,0,92,0,10,-5,G,4,5AlWrUcJpzbp7cw35uMz9u,"Universal Music A/S",DKUM70900251
1463,"To Takie Proste","Sixteen",100,4B,77,2023-06-23,02:54,11,"","","Lawa",2009-01-01,69,3,0,58,0,20,-6,G#/A♭,4,0IfbVBzv2whyl6uLCDudVQ,"Universal Music Polska Sp. z o.o.",PLUM70900459
1464,"Song #1","SEREBRO",125,6A,86,2023-06-23,03:01,0,"","","Опиумroz",2009-01-01,79,3,0,92,0,30,-5,G minor,4,7yydUNNgZf2J5XRqeYHFaG,"MONOLIT",QMPU51218560
1465,"Pasiklydęs Žmogus","Sasha Son",206,8A,55,2023-06-23,03:48,14,"","","Muzikos Akademija. 2 Dalis",2009-01-01,53,11,0,49,0,10,-9,A minor,3,5F6lMypmBzHVr0XZiD5fkA,"muzikine partija",USLZJ1827483
1466,"La Noche Es Para Mí","Soraya",126,11A,84,2023-06-23,02:59,10,"","","La Noche Es Para Mí (International Version)",2009-01-01,66,6,0,75,0,0,-5,F#/G♭ minor,4,6aZGWAaNOoJL7v1g7Ygo10,"Universal Music Spain S.L.",ES5700802845
1467,"Shine - New Wave Eurovision 2009 Mix","De Toppers",132,4B,87,2023-06-23,03:01,15,"hollands, nederpop","","Shine (New Wave Eurovision 2009 Mix)",2009-01-01,63,0,0,46,0,20,-7,G#/A♭,4,5WnWh5gDv2HAFBeMKnlxaI,"[blank]",NLA950900004
1468,"Illusion - Eurovision Remix","Krassimir Avramov",130,9A,91,2023-06-23,02:55,11,"","","Illusion (Bulgarian Song for Eurovision 2009)",2009-00-00,49,1,0,44,0,0,-5,E minor,4,1iqlGvWyLTVwoRWLZL9YGu,"KVZ Music Ltd.",BGA261196802
1469,"Life","Toše Proeski",136,8A,94,2023-06-23,03:03,0,"","","Tose Proeski - Dan Za Nas",2009-00-00,72,16,0,73,0,0,-3,A minor,1,5T7vwco5GTNHA4HRvneoqe,"City Records / Mascom Records",ATR981121958
1470,"Hægt og hljótt","Halla Margret Arnadottir",130,8B,31,2023-06-23,03:00,0,"","","100 íslenskar ballöður",2009-00-00,31,75,0,13,0,0,-9,C,4,6n5qutFEbYRum5az62qL9C,"Íslenskir tónar",ISA110601118
1471,"Falter im Wind","Chameleons Vokalensemble",105,9B,46,2023-06-23,02:49,1,"","","Church-Tour 09'",2009-00-00,53,58,0,64,0,0,-7,G,4,0Vcp0ohNqih1GR4Hku8Bhx,"Hoermann Records AT F46",ATF461403003
1472,"Hora Din Moldova (Dancing Moldova)","Nelly Ciobanu",180,12A,87,2023-06-23,02:57,0,"europop","","Eurovision Song Contest 2009",2009-00-00,49,4,0,47,0,0,-4,C♯/D♭ minor,4,4CRO4PIatipNV663RrRCJu,"EMM",DKASA0900910
1473,"Love - Lithuania","Sasha Son",103,8A,57,2023-06-23,03:04,0,"","","Eurovision Song Contest 2009",2009-00-00,60,67,0,43,0,0,-8,A minor,3,6NuWZDAiSklLRtrejSzsh0,"EMM",DKASA0900909
1474,"Lose Control - Radio Edit","Waldo's People",138,9B,97,2023-06-23,02:58,23,"eurodance, europop, finnish pop","Electronic, Pop","Lose Control",2008-12-15,59,1,2,83,0,20,-5,G,4,7ffiVWrY1ZLIQ733du5aud,"RCA Records Label",FI2MW0800004
1475,"80s Coming Back","Dave Benton",125,6B,74,2023-06-23,03:16,1,"","","Uues Kuues",2008-12-15,83,33,0,66,0,0,-6,A#/B♭,4,2KXY7CIjLtOc5cY5dc6OjH,"Downtown Records",EECU10600002
1476,"Deli","mor ve ötesi",75,9A,92,2023-06-23,03:04,56,"anatolian rock, turkish pop","","Başıbozuk",2008-11-24,43,4,0,45,0,10,-3,E minor,4,3eEmeP2ydpJDtl0tY91t8Y,"RAKUN MÜZİK FİLM",TR4150800301
1477,"When","Red Hurley",79,11B,38,2023-06-23,02:58,3,"Catholic music","","Sometimes",2008-10-28,37,52,2,30,0,10,-15,A,4,4wET5q7KgpBaIuKbmDhsGd,"HHO Licensing - X5 Music Group",SEWDL0366301
1478,"For Din Skyld","Birgit Bruel",97,6B,18,2023-06-23,02:12,0,"","","Synger Dansk 1953-70",2008-09-23,27,98,0,9,0,10,-13,A#/B♭,4,0d3emgokAcHy4ih5mUsND1,"Music Mecca",DKEBA0804408
1479,"Oração","António Calvário",174,8B,42,2023-06-23,02:35,0,"fado","","Regresso - O Melhor de António Calvário 1960-1966",2008-09-22,21,86,0,20,0,10,-5,C,3,7irYTJgKTy2wKUX1we6KO8,"Edições Valentim de Carvalho, S.A.",PTVC16400116
1480,"Let Me Cry","Mariana Popova, Azis",100,9B,74,2023-06-23,04:15,0,"folk pop, oyun havasi","","New Religion",2008-09-10,49,31,0,42,0,0,-6,G,4,2pfOxpgOUDd8GFoqRP2zuz,"Emil Dimitrov Foundation",USA561145653
1481,"Colgado De Un Sueño","Serafin Zubiri",115,9B,61,2023-06-23,03:08,13,"","","Colgado De Un Sueño",2008-09-09,58,34,0,41,0,10,-7,G,4,7jajK2dubhCHqQJqdaQZlh,"Parlophone Spain",ARC580800030
1482,"Oro","Jelena Tomasevic",124,8A,48,2023-06-23,03:04,0,"","","Jelena Tomasevic",2008-09-08,47,92,0,29,0,10,-5,A minor,4,0LlCZ4MTi5VDvqm9oGipFI,"City Records",RSA221831436
1483,"Where Are You","Imaani",126,6A,77,2023-06-23,03:14,0,"","","This Is... 1998",2008-08-04,64,3,0,49,0,10,-8,G minor,4,2nW7d3hGhkwvoUn0rUe39P,"Parlophone UK",GBAYE9800399
1484,"Pokusaj (Eurovision Song Contest 2008)","Elvir Lakovic Laka",144,12B,84,2023-06-23,03:00,10,"","","Zec",2008-08-02,61,21,0,15,0,20,-5,E,4,1XzXbavbk2BT0ablO8fQaT,"MASCOM RECORDS",CSA020808113
1485,"Even If","Andy Abraham",120,12A,92,2023-06-23,03:44,0,"","","Even If",2008-07-27,62,2,0,97,0,0,-6,C♯/D♭ minor,4,2vI5dsE5og13ur6EUhOapI,"B-Line Records",USJ3V0950440
1486,"Beg, Steal Or Borrow","The New Seekers",136,9B,50,2023-06-23,02:43,0,"","","The New Seekers - Their Very Best",2008-07-21,57,52,0,59,0,50,-8,G,4,6gWxUhIRVkWa3bsOQs15so,"K-tel",USDEI8301340
1487,"Lane Moje","Željko Joksimović",101,12A,68,2023-06-23,03:04,20,"","","Lane Moje / Good Bye",2008-07-10,55,33,0,36,0,10,-5,C♯/D♭ minor,4,2jOg1fkAoJv56YTsidJNoA,"Mascom Records",CSA020400101
1488,"Good Bye","Željko Joksimović",101,12A,61,2023-06-23,03:08,5,"","","Lane Moje / Good Bye",2008-07-10,53,6,0,25,0,10,-6,C♯/D♭ minor,4,42x1YLRFnv7kOtVLDfqlVp,"Mascom Records",CSA020400102
1489,"Pe-O Margine De Lume","Nico, Vlad",148,10B,63,2023-06-23,03:00,0,"musicals","Classical, Easy Listening, Pop","Pe-O Margine De Lume",2008-07-06,33,75,0,28,0,10,-6,D,4,0dLz4eNr5kTkVmLVLoUs6l,"Cat Music",ROCMA0801146
1490,"Je t'adore - Eurovision Mix","Kate Ryan",135,1A,84,2023-06-23,03:02,36,"eurodance","Electronic, Pop","Essential",2008-07-04,58,3,0,49,0,40,-5,G#/A♭ minor,4,1YuXoPqkTQOXpFJtjf5GWd,"Parlophone Belgium",BEA340610011
1491,"Um Grande, Grande Amor","José Cid",142,9B,71,2023-06-23,02:58,25,"fado","","Ao Vivo No Campo Pequeno",2008-06-23,51,19,0,84,0,80,-8,G,4,2msgWbc4Q9sY7esGISFiWx,"Farol Música",PTFA10882742
1492,"Divine Vision","Sébastien Tellier",142,6B,82,2023-06-23,02:53,0,"french house, french indie pop, downtempo","","Divine - EP",2008-05-23,69,20,0,53,0,10,-5,A#/B♭,4,2WVex8KzBHtBR7MmjtE64d,"Record Makers",FRS710800050
1493,"Deli - Eurovision 08","mor ve ötesi",75,9A,93,2023-06-23,03:02,24,"anatolian rock, turkish pop","","Deli (Eurovision 08)",2008-05-22,47,1,0,58,0,20,-3,E minor,4,6KQ6SURDIXeEHqvePvxRKA,"RAKUN MÜZİK FİLM",TR4150800301
1494,"Morgen","Ronnie Tober",125,6B,60,2023-06-23,02:22,12,"hollands, nederpop","","Het Beste van Ronnie Tober",2008-05-18,57,31,0,71,0,10,-8,A#/B♭,4,6NqsonGA4xWZ1PxiLeEG2S,"Telstar",NLA349500063
1495,"Cinema","Paola",144,7B,66,2023-06-23,03:05,0,"schlager, schlagerparty","","Eurovision Party Soundtrack",2008-05-09,46,51,0,71,0,10,-6,F,4,2IjAy4EsIFdbr54RaBoEuq,"Sony BMG Music UK",DEE868000239
1496,"Romanca (Official Eurovision Entry)","Kraljevi Ulice",124,8B,66,2023-06-23,02:59,0,"traditional music","","Romanca (Single)",2008-05-06,72,24,0,84,10,0,-7,C,4,1u60Li5IHKMT4KNumh9n3z,"Menart",HRAA40800126
1497,"Für zwei Groschen Musik","Margot Hielscher",79,7B,31,2023-06-23,02:58,1,"","","Domino",2008-05-05,58,62,0,74,0,0,-12,F,4,5tL4rFHf43INSWIsagIwNr,"Firefly Entertainment",GBSGJ1335141
1498,"Here Today, Gone Tomorrow","The Duskeys",133,6A,58,2023-06-23,03:51,2,"","","Showbands",2008-05-01,79,1,5,50,0,0,-13,G minor,4,2DZ22AU5A4k0eBP3HPCeiU,"Arran Records",IEACD0800002
1499,"Penso Em Ti, Eu Sei","Adelaide Ferreira",148,11B,61,2023-06-23,03:14,10,"fado","","O Melhor de",2008-04-28,48,27,0,29,0,10,-8,A,4,3zWwNinAFM7VZfvojjhZUM,"Farol Música",PTFA10800759
1500,"Nel Blu Dipinto Di Blu","Domenico Modugno",130,6B,6,2023-06-23,03:39,50,"italian singer-songwriter, canzone napoletana","","Nel Blu Dipinto Di Blu",2008-04-28,55,98,0,48,0,10,-17,A#/B♭,4,5zyrEv4F3FaLECI8TOKpFM,"Replay Music",USA560766736
1501,"Irlande Douze Points","Dustin The Turkey",135,8A,97,2023-06-23,02:57,15,"","","Irlande Douze Points",2008-04-18,60,7,0,49,30,20,-4,A minor,4,2hDTnjAaYJXO8MufWCqGcK,"Kite",IEBPI0800001
1502,"Your Heart Belongs To Me","Hind",94,1A,87,2023-06-23,03:05,0,"raï, fado","","Your Heart Belongs To Me",2008-04-13,64,1,0,84,0,10,-5,G#/A♭ minor,4,7EmrADNrV80ZUYFOAwGyzt,"Greytown Recordings (PIAS Digital Benelux)",NLDR80800001
1503,"La Det Swinge","Bobbysocks",138,3B,93,2023-06-23,02:52,0,"dansband, norwegian pop","","Landeplage",2008-03-25,52,57,0,39,10,30,-5,C♯/D♭,4,6xl0RmyknMLlpNY3QPfSxK,"Universal Music A/S",NOFBT9504250
1504,"Pe-O Margine De Lume","Nico, Vlad Mirita",74,10B,61,2023-06-23,03:00,9,"","","Pe-O Margine De Lume",2008-03-18,40,74,0,28,0,10,-6,D,4,5ubfcWQHYSDkwOvUsRqZQD,"2008 Cat Music",ROCMA0801146
1505,"Vielleicht geschieht ein Wunder","Carmela Corren",119,12B,43,2023-06-23,02:31,0,"schlager","","Das Beste aus 50 Jahren Ariola Vol. 4",2008-03-14,42,80,0,36,0,70,-8,E,4,3bzhAQvU8sEb8gnnnabDl2,"NITRON media",DEA816300008
1506,"Era Stupendo","Paolo Meneguzzi",144,3B,58,2023-06-23,03:31,0,"","","Corro Via",2008-03-14,47,1,0,21,0,10,-6,C♯/D♭,4,1HhR4MWFF6jUjuYqoo5ogB,"Ricordi",NLG470800002
1507,"Dag efter dag","Chips",132,3B,97,2023-06-23,02:54,0,"dansband, doo-wop, schlager, swedish pop","","Svenska Schlagerhits",2008-03-10,51,24,0,59,0,20,-3,C♯/D♭,4,3hXD7RXINOZvVOyFisCdES,"WM Sweden",SEPQM0611428
1508,"Senhora Do Mar (Negras Águas)","Vânia Fernandes",70,12A,59,2023-06-23,03:02,27,"fado","","Senhora Do Mar (Negras Águas)",2008-03-08,44,65,0,33,0,30,-6,C♯/D♭ minor,3,6Aj4aFFUNpLdanLlxIJ2v5,"Vânia Fernandes",PTCA10800001
1509,"Sata salamaa","Virve Rosti",134,9B,79,2023-06-23,03:04,27,"iskelmä, finnish pop, finnish rock","","Tähtisarja - 30 Suosikkia",2008-03-03,64,27,0,77,0,30,-8,G,4,0iFuOh7le9rmJVCR1jmgFu,"WEA",FIFLF8700800
1510,"Tie uuteen päivään","Markku Aro, Koivistolaiset",89,4B,51,2023-06-23,03:22,1,"iskelmä, finnish pop, finnish rock","","Tähtisarja - 30 Suosikkia",2008-03-03,43,73,0,66,0,0,-8,G#/A♭,4,50wOn0ORb7EgqB4OmNpiM4,"WEA",FIFMF7100057
1511,"Nur ein Lied","Thomas Forstner",74,12B,58,2023-06-23,03:02,0,"","","Top Schlager",2008-02-29,46,75,0,49,0,40,-9,E,3,3sh5b3lXt390at1AYmWEZ8,"Montana",DEF458912420
1512,"Secret Combination","Kalomira",111,3B,79,2023-06-23,03:02,0,"","","Secret Combination - Single",2008-02-26,78,27,0,94,0,10,-5,C♯/D♭,4,77GONOsb3Fg7uaLWttx55j,"Heaven",GRHV10800017
1513,"Divine","Sébastien Tellier",142,5A,82,2023-06-23,03:08,0,"french house, french indie pop, downtempo","","Sexuality",2008-02-25,70,11,0,50,0,0,-6,C minor,4,6JYxLv2GGPaZDkyJaHSQJY,"Record Makers",FRS710700007
1514,"Missä miehet ratsastaa - Euroviisuversio","Teräsbetoni",140,10A,96,2023-06-23,02:59,11,"finnish rock, finnish pop, power metal","","Missä miehet ratsastaa",2008-02-25,61,0,0,57,0,20,-2,B minor,4,7pkP8zg0Jl0ZdLmuKHaVha,"WEA",FIWMA0800056
1515,"Fångad av en stormvind - Swedish Version","Carola",93,4B,94,2023-06-23,03:00,24,"christmas, swedish pop","Pop","Hits 25 år",2008-02-20,65,36,0,57,0,0,-3,G#/A♭,4,5dj8DC31HDufvdjNmvZVfn,"Columbia",SEBMI9000020
1516,"Dan Najlepših Sanj","Regina",106,12B,65,2023-06-23,03:04,11,"","","Dan Najlepših Sanj",2008-02-13,61,12,0,70,0,0,-10,E,4,4NrbpestG8aXXePSuvrsMB,"Regina",ushm91178597
1517,"Stjärnorna","Roger Pontare, Marie Bergman",145,9B,58,2023-06-23,03:14,14,"schlager, swedish pop","","Melodifestivalfavoriter",2008-02-01,45,53,0,32,0,10,-6,G,4,6fWEH1PKHpFi6OeH4SlM4o,"WM Sweden",SEPQM0610719
1518,"Samson - Flemish Version","Emly Starr",138,4B,89,2023-06-23,02:52,7,"","","Love is Elastic",2008-02-01,43,17,0,63,10,10,-4,G#/A♭,4,47JNzxipRYFJFtDId2G5jR,"4132869 Records DK",QZMEM2287222
1519,"DJ, Take Me Away (Original Radio Mix)","Deep Zone & Balthazar",130,4A,92,2023-06-23,03:02,0,"","","DJ, Take Me Away",2008-01-25,67,0,8,83,0,30,-5,F minor,4,1YIZKhptvTugpAfWjGzjMY,"ToCo International",BGA320700001
1520,"Lapponia","Monica Aspelund",103,8B,44,2023-06-23,02:47,7,"iskelmä, finnish pop","","100 Kaikkien aikojen iskelmää",2008-01-07,64,83,0,78,0,10,-11,C,4,08QQrrdpXS5KmhSMD5EWMF,"WEA",FIFDP7700014
1521,"La Noche Es Para Mí","Soraya",126,11A,84,2023-06-23,02:59,34,"","","Sin Miedo",2008-01-01,66,6,0,75,0,0,-5,F#/G♭ minor,4,0AdCDSKdj8pRAZZ3FqHmHH,"Universal Music Spain S.L.",ES5700802845
1522,"Hold On Be Strong","Maria Haukaas Storeng",184,12A,74,2023-06-23,03:06,33,"norwegian pop","","Hold On Be Strong",2008-01-01,44,44,0,53,0,30,-4,C♯/D♭ minor,4,674mIXeX6ucMlhyLWgzvdP,"Universal Music AS",NOUM70702725
1523,"Hero","Charlotte Perrelli",127,1A,89,2023-06-23,02:55,24,"dansband, schlager, swedish pop","","Hero",2008-01-01,62,0,0,91,0,0,-4,G#/A♭ minor,4,5thbBlXWqYroVWot4a5LlN,"Universal Music AB",SEUM70800079
1524,"Oro","Jelena Tomasevic",124,8A,48,2023-06-23,03:04,0,"","","Jelena Tomasevic",2008-01-01,47,92,0,29,0,10,-5,A minor,4,593IpDx3kxrBMeGQ0LLGYl,"City Records",RSA291700600
1525,"Disappear","No Angels",123,4B,65,2023-06-23,03:18,27,"","","Destiny Reloaded",2008-01-01,76,5,0,34,0,10,-5,G#/A♭,4,4DMBHcOKngWQ55YXXOtZKn,"Polydor",DEUM70800349
1526,"O Julissi Na Jalini","Ishtar",136,9B,27,2023-06-23,02:34,0,"","","O Julissi",2008-01-01,61,87,0,73,0,20,-12,G,4,2eE5Q1xHwy5aVAB2RAQwJG,"ARS Entertainment N.V.",BEUM70800104
1527,"Vukovi Umiru Sami","Boris Novković",160,7A,63,2023-06-23,02:57,0,"","","The Platinum Collection",2008-01-01,55,23,0,73,0,30,-8,D minor,3,24fxpih3a1PStawZT5FFSV,"Croatia Records",HRA040859443
1528,"Dziesma par laimi","Ivo Fomins",105,12B,73,2023-06-23,02:57,22,"","","Labākās dziesmas",2008-01-01,65,26,0,59,0,10,-6,E,4,4TCZdDDnqeFYrskdl0XS1t,"Mikrofona ieraksti",LVA100400004
1529,"Strings Of My Heart","Vanna",120,7B,78,2023-06-23,02:57,0,"","","The Platinum Collection",2008-01-01,49,25,0,31,10,10,-7,F,4,7b011YotePNLplTMrbMgnu,"Croatia Records",HRA040642279
1530,"Minn hinsti dans","Páll Óskar",138,1A,96,2023-06-23,03:00,0,"","","Silfursafnið",2008-01-01,58,0,2,68,0,0,-8,G#/A♭ minor,4,5IR7u7uiUC61E4Ad5OZXzn,"Alda Music, under exclusive license from POP ehf",ISV440805105
1531,"Lass die Sonne in dein Herz","Wind",93,2B,72,2023-06-23,03:03,0,"schlager, schlagerparty","","Leb' deinen Traum - Unsere größten Hits (Set)",2008-01-01,78,14,0,97,0,0,-6,F#/G♭,4,4QQm4aNOns2R0RMX85UfMK,"Koch Music",DEN120301745
1532,"Für alle","Wind",184,3B,68,2023-06-23,02:53,0,"schlager, schlagerparty","","Leb' deinen Traum - Unsere größten Hits (Set)",2008-01-01,56,18,0,74,0,0,-7,C♯/D♭,4,4UOhMulI76X6UpnflP1fs7,"Koch Music",DEA609400759
1533,"I Treni Di Tozeur - Remastered / 2005","Franco Battiato, Alice",107,5B,54,2023-06-23,03:10,34,"italian singer-songwriter, singer-songwriter","","The Capitol Collection: Per Elisa",2008-01-01,55,45,0,57,0,30,-8,D#/E♭,4,7JBfJNlpw7WCKB9DxQOlU5,"EMI Marketing",ITD000500318
